DCP,Jname,RIP,SNIP
1.0397350993377483,acm transactions on computer systems,3.8292682926829267,4.0393391030684498
1.1669829222011385,ieee/acm transactions on networking,1.5073529411764706,1.4166666666666667
1.145374449339207,acm transactions on algorithms,1.4130434782608696,1.3530855539971949
1.025,acm transactions on modeling and computer simulation,0.6029411764705882,0.64516129032258063
1.3333333333333333,journal of data and information quality,0.2,0.16451612903225807
1.1176470588235294,acm transactions on reconfigurable technology and systems,0.6551724137931034,0.64293659621801991
1.099009900990099,"acm transactions on multimedia computing, communications, and applications",1.1326530612244898,1.1303489137590517
1.0810810810810811,acm transactions on autonomous and adaptive systems,1.1111111111111112,1.1272401433691757
1.0,acm transactions on computation theory,0.5555555555555556,0.60931899641577059
1.096774193548387,acm transactions on graphics,1.9318181818181819,1.9318181818181819
1.0,acm transactions on computing education,1.0833333333333333,1.1881720430107525
1.4285714285714286,journal on computing and cultural heritage,0.45454545454545453,0.34897360703812313
1.0344827586206897,acm transactions on internet technology,1.2,1.2722580645161288
1.049645390070922,acm transactions on computer-human interaction,1.783132530120482,1.863194714341236
1.1206896551724137,journal of experimental algorithmics,0.9701492537313433,0.94944631680308145
1.2571428571428571,acm journal on emerging technologies in computing systems,0.5569620253164557,0.48591261739485497
1.0683760683760684,acm transactions on information and system security,1.358695652173913,1.3948106591865357
1.0425531914893618,acm transactions on architecture and code optimization,0.5764705882352941,0.60645161290322569
1.126865671641791,acm transactions on sensor networks,1.5729166666666667,1.5309139784946235
1.1058823529411765,acm transactions on the web,3.032258064516129,3.007284079084287
1.25,acm transactions on storage,1.5573770491803278,1.3664727657324165
1.1416666666666666,ieee/acm transactions on computational biology and bioinformatics,0.6555023923444976,0.62972680969285377
1.2076923076923076,acm transactions on mathematical software,1.3418803418803418,1.218637992831541
1.036231884057971,acm transactions on knowledge discovery from data,2.1029411764705883,2.2258064516129035
1.0875,acm transactions on embedded computing systems,1.27007299270073,1.2809041676477513
1.0548780487804879,acm transactions on information systems,2.1097560975609757,2.193548387096774
1.125,acm transactions on design automation of electronic systems,0.6428571428571429,0.62672811059907829
1.0833333333333333,journal of the acm,2.9008264462809916,2.936816848840309
1.0880829015544042,acm transactions on programming languages and systems,1.7073170731707317,1.7209546289011275
1.1764705882352942,acm transactions on applied perception,0.8247422680412371,0.76887263052876598
1.0902255639097744,acm transactions on computational logic,1.4356435643564356,1.4442670073458956
1.1025641025641026,acm transactions on accessible computing,1.303030303030303,1.2961876832844572
1.0515463917525774,acm transactions on software engineering and methodology,1.457142857142857,1.5198156682027646
1.0343980343980343,acm computing surveys,6.1911764705882355,6.564516129032258
1.1365853658536584,acm transactions on database systems,2.2403846153846154,2.1619106699751858
